title;relevancy;engagement;activity
17 aralik 2013 ihale ve rusvet operasyonu;0.084573218;0.063903634;2955
17 aralik 2016 kayseri patlamasi;0.008613939;0.055703008;1750
17 eylul 2013 galatasaray real madrid maci;0.031323414;0.036205254;1569
17 eylul 2015 fenerbahce molde maci;0.006264683;0.021267184;804
17 haziran 2016 ispanya turkiye maci;0.016444792;0.067136246;3064
17 mart 2012 fenerbahce galatasaray maci;0.036021926;0.029978222;1302
17 mart 2016 sc braga fenerbahce maci;0.013312451;0.050700966;2053
17 mayis 2000 galatasaray arsenal maci;0.030540329;0.018613039;628
17 subat 2016 ankara da patlama;0.027407987;0.05907173;2028
17 temmuz 2014 israil in gazze yi isgali;0.002349256;0.01412141;509
17.00 de isten cikip 17.30 da evinde olan insan;0.000783085;0.035048319;1070
175 cm den kisa erkeklerin yasama nedeni;0;0.016639445;506
18 agustos 2015 real madrid galatasaray maci;0.002349256;0.014427658;647
18 aralik 2015 bim star wars olayi;0.003132341;0.021097046;710
18 aralik 2016 osmanlispor galatasaray maci;0.004698512;0.014904042;626
18 ekim 2014 galatasaray fenerbahce maci;0.025058731;0.020892881;653
18 eylul 2014 iskocya bagimsizlik referandumu;0.003132341;0.014359603;864
18 mart 2011 galatasaray fenerbahce maci;0.043069695;0.023683136;572
18 mart 2014 chelsea galatasaray maci;0.01018011;0.016741527;979
18 subat 2016 galatasaray lazio maci;0.005481597;0.01657139;725
18 temmuz 2016 wikileaks aciklamasi;0.000783085;0.018613039;646
19 agustos 2014 besiktas arsenal maci;0.012529366;0.021743569;899
19 aralik 2016 rusya buyukelcisi suikasti;0.018010963;0.079011842;2664
19 ekim 2011 cukurca catismasi;0.029757244;0.018170682;625
19 ekim 2016 napoli besiktas maci;0.006264683;0.029501837;1186
19 eylul 2012 manchester united galatasaray maci;0.020360219;0.020722744;919
19 haziran 2016 gs warriors cleveland cavs maci;0.000783085;0.015788757;858
19 mart 2015 besiktas club brugge maci;0.017227878;0.025112291;1078
19 mart 2016 taksim patlamasi;0.030540329;0.049816252;1610
19 mayis 2011 simav depremi;0.007047768;0.015584592;551
19 mayis 2012 bayern munih chelsea maci;0.008613939;0.011875595;518
19 nisan 2016 real madrid fenerbahce maci;0.000783085;0.014972097;664
19 subat 2015 liverpool besiktas maci;0.01018011;0.022764394;989
19 yasindaki kizin gece ucte disarida ne isi var;0.003915427;0.029978222;930
1981 1986 arasi dogan efsanevi nesil;0.012529366;0.029910167;983
1990 1995 arasi dogan efsanevi nesil;0;0.017592215;524
1996 yilindan hatirda kalanlar;0.000783085;0.021199129;641
2 aralik 2015 rusya savunma bakanligi aciklamasi;0.002349256;0.016673472;577
2 aralik 2016 dolar kuru;0.000783085;0.01384919;503
2 aylik bebegi evde birakip 9 gunluk tatile cikmak;0.002349256;0.018647067;602
2 bin lira maas ile krallar gibi yasayan adam;0.002349256;0.023615081;716
2 ekim 2012 galatasaray braga maci;0.018794049;0.012998503;504
2 ekim 2013 juventus galatasaray maci;0.018010963;0.016741527;750
2 ekim 2014 tottenham hotspur besiktas maci;0.008613939;0.01575473;682
2 haziran 2013 teke tek ozel programi;0.002349256;0.012828365;501
2 kasim 2014 besiktas fenerbahce maci;0.019577134;0.019497754;859
2 mayis 2013 benfica fenerbahce maci;0.017227878;0.020654689;905
2 temmuz 2016 italya almanya maci;0.003132341;0.020314414;855
2 trilyon dolar ile yapilabilecekler;0;0.023717163;735
20 agustos 2015 atromitos fenerbahce maci;0.003132341;0.014325575;564
20 agustos 2016 gaziantep patlamasi;0.007830854;0.023581053;778
20 dakika;0.018794049;0.017285967;730
20 ekim 2016 manchester united fenerbahce maci;0.005481597;0.027664353;1074
20 eylul 2012 fenerbahce marsilya maci;0.01174628;0.013372805;527
20 haziran 2008 hirvatistan turkiye maci;0.030540329;0.017354022;660
20 kasim 2012 galatasaray manchester united maci;0.019577134;0.013474888;515
20 kasim 2016 fenerbahce galatasaray maci;0.022709475;0.046005172;1757
20 mart 2014 twitter in engellenmesi;0.015661707;0.041105213;1475
20 mart 2016 galatasaray fenerbahce maci;0.005481597;0.020382469;699
20 mart 2016 gs fb macinin ertelenmesi;0.003132341;0.017285967;563
20 mart 2016 turkiye nin evde oturmasi;0.000783085;0.019804002;606
20 nisan 2014 besiktas fenerbahce maci;0.013312451;0.013474888;660
20 subat 2011 besiktas fenerbahce maci;0.028974158;0.01466585;604
20 subat 2013 galatasaray schalke 04 maci;0.008613939;0.020450524;876
20 temmuz 2015 suruc canli bomba saldirisi;0.02192639;0.042296175;1469
20 temmuz 2016 olaganustu hal ilani;0.003132341;0.019361644;616
20 temmuz 2016 rte nin aciklayacagi buyuk karar;0.002349256;0.038076766;1278
200 km/s ile giderken dinlenecek sarkilar;0.001566171;0.04141146;1295
2001 a space odyssey;0.047768207;0.017864434;604
2002 dunya kupasi ndan akilda kalanlar;0.002349256;0.027868518;866
2006 eurovision sarki yarismasi;0.004698512;0.009970056;595
2007 eurovision sarki yarismasi;0.004698512;0.010242276;610
2008 eurovision sarki yarismasi;0.005481597;0.014189465;760
2009 eurovision sarki yarismasi;0.007830854;0.020382469;1154
2010 2011 sezonu sampiyonu trabzonspor;0.009397024;0.010616578;509
2010 eurovision sarki yarismasi;0.007830854;0.022219954;1474
2010 guney afrika dunya kupasi;0.037588097;0.019565809;793
2010 super lig yayin ihalesi;0.012529366;0.014291548;747
2011 eurovision sarki yarismasi;0.004698512;0.018476929;1267
2012 eurovision sarki yarismasi;0.01018011;0.044746155;3133
2012 kpss sorularinin calinmasi;0.008613939;0.012556145;612
2012 londra olimpiyat oyunlari acilis toreni;0.007047768;0.013406833;585
2012 londra olimpiyatlari;0.026624902;0.018408874;1302
2013 eurovision sarki yarismasi;0.003132341;0.008847148;597
2013 osys yerlestirme sonuclari;0.000783085;0.016197087;570
2013 yilinin tek cumlelik ozeti;0;0.01697972;524
2014 brezilya dunya kupasi;0.027407987;0.029501837;1274
2014 eurovision sarki yarismasi;0.001566171;0.006737444;575
2014 turkiye grip salgini;0.001566171;0.016775555;530
2015 2016 sezonu sampiyonu besiktas;0.004698512;0.025894923;884
2015 ekonomik krizi;0.016444792;0.046481557;2421
2015 eurovision sarki yarismasi;0.001566171;0.014699878;1371
2015 genel secimleri tahminleri;0.002349256;0.030624745;1045
2015 yilinin tek cumlelik ozeti;0.000783085;0.040628828;1252
2016 dunya satranc sampiyonasi;0.003915427;0.014972097;1456
2016 ekonomik krizi;0.014878622;0.065877229;2997
2016 eurovision sarki yarismasi;0.006264683;0.018272764;1492
2016 ramazan ilk oruc dayagi piyangosu;0.001566171;0.01575473;507
2016 rio de janeiro olimpiyatlari;0.007830854;0.025452566;1519
2016 turizm krizi;0.018794049;0.090274942;4047
2016 yilindan beklentiler;0.001566171;0.026439363;823
2016 yilinin tek cumlelik ozeti;0;0.031271267;951
2017 yilinin tek cumlelik beklentisi;0.002349256;0.072138288;2238
2050 yili olasi sozluk basliklari;0.002349256;0.028991425;941
21 agustos 2013 fenerbahce arsenal maci;0.013312451;0.017013747;708
21 aralik 2012;0.031323414;0.033755274;1213
21 aralik 2015 osmanlispor besiktas maci;0.004698512;0.01344086;584
21 ekim 2015 galatasaray benfica maci;0.010963195;0.016265142;636
21 eylul 2012 istanbul da duyulan enteresan ses;0.003915427;0.01684361;607
21 haziran 2016 turkiye cek cumhuriyeti maci;0.008613939;0.039744113;1631
21 mart 2016 reza zarrab in abd de tutuklanmasi;0.01174628;0.044337825;1512
21 subat 2015 tbmm oturumu;0.004698512;0.010922826;555
21 subat 2016 galatasaray trabzonspor maci;0.018010963;0.02865115;1142
22 23 24 kasim 2013 entry girmeme eylemi;0.009397024;0.016945692;659
22 agustos 2011 internetin filtrelenmesi;0.020360219;0.019293589;686
22 agustos 2015 besiktas trabzonspor maci;0.006264683;0.014597795;655
22 agustos 2016 gecesi yasanan uykusuzluk;0.001566171;0.036307336;1100
22 ekim 2014 galatasaray borussia dortmund maci;0.013312451;0.019565809;787
22 ekim 2016 galatasaray trabzonspor maci;0.007830854;0.018408874;705
22 eylul 2013 besiktas galatasaray maci;0.039154268;0.038042739;1958
22 haziran 2016 italya irlanda maci;0.003132341;0.01575473;563
22 kasim 2015 ales;0.003132341;0.014087383;594
22 mart 2015 fenerbahce besiktas maci;0.020360219;0.022458146;1002
22 mart 2016 bruksel havalimaninda patlama;0.007830854;0.026235198;892
22 mayis 2016 ingiltere turkiye maci;0.000783085;0.01276031;530
22 nisan 2012 galatasaray fenerbahce maci;0.032889585;0.021063019;860
22 subat 2014 galatasaray besiktas maci;0.021143305;0.019735947;906
22 yasinda 4 yillik fakulteden mezun olmak;0.002349256;0.026065061;792
22.00 06.00 arasi alkol satis yasagi;0.003915427;0.061896012;2249
23 adamla yatip gecmisi bosver senleyim diyen kiz;0.003915427;0.032768477;1018
23 ekim 2011 van depremi;0.032889585;0.027051858;1028
23 ekim 2012 galatasaray cluj maci;0.001566171;0.014053355;568
23 ekim 2014 fk partizan besiktas maci;0.007830854;0.012590173;513
23 ekim 2016 besiktas antalyaspor maci;0.004698512;0.012590173;504
23 eylul 2016 acibadem metrobus kazasi;0;0.020212332;637
23 kasim 2016 besiktas benfica maci;0.016444792;0.047638492;1868
23 mart 2016 akpnin reddettigi arastirma komisyonu;0.003132341;0.019599837;616
23 nisan 2013 bayern munih barcelona maci;0.017227878;0.013645025;569
23 nisan 2016 akhisar belediye besiktas maci;0.007047768;0.015176262;636
23 nisan ulusal egemenlik ve cocuk bayrami;0.017227878;0.021573431;682
23 subat 2016 arsenal barcelona maci;0.003132341;0.013134613;522
24 agustos 2015 galatasaray osmanlispor maci;0.008613939;0.015924867;637
24 agustos 2016 cerablus operasyonu;0.001566171;0.02756227;1003
24 ekim 2010 fenerbahce galatasaray maci;0.028191073;0.015584592;633
24 eylul 2015 mekke seytan taslama faciasi;0.003915427;0.028446985;962
24 eylul 2016 besiktas galatasaray maci;0.023492561;0.051313461;2354
24 haziran 2016 ingiltere nin ab den ayrilmasi;;0.018408874;589
24 kasim 2015 suriye sinirinda ucak dusurulmesi;0.01018011;0.034231659;1274
24 mart 2014 burak erdogan ses kaydi;0.002349256;0.018510957;638
24 mart 2015 germanwings ucak kazasi;0.000783085;0.013134613;592
24 mayis 2014 gokceada depremi;0.006264683;0.02878726;953
24 mayis 2014 real madrid atletico madrid maci;0.01018011;0.014631823;644
24 mayis 2015 galatasaray besiktas maci;0.018794049;0.03232612;1394
24 nisan 2016 trabzonspor fenerbahce maci;0.005481597;0.023887301;943
24 temmuz 2016 chp istanbul demokrasi mitingi;0.002349256;0.018238737;665
24 yasinda 4 bin lira maas alan insan;0.003132341;0.017081802;514
25 agustos 2014 fenerbahce galatasaray maci;0.017227878;0.025724786;1112
25 agustos 2016 sosyal medyaya erisilememesi;0;0.019157479;653
25 agustos 2016 uefa sampiyonlar ligi kura cekimi;0;0.020790799;748
25 ekim 2015 fenerbahce galatasaray maci;0.015661707;0.036579556;1498
25 ekim 2015 saatlerin 1 saat geri alinamamasi;0.002349256;0.020110249;614
25 haziran 2008 almanya turkiye maci;0.026624902;0.01303253;521
25 nisan 2013 fenerbahce benfica maci;0.017227878;0.018613039;841
25 subat 2013 galatasaray orduspor maci;0.019577134;0.012147815;531
25 subat 2016 lazio galatasaray maci;0.000783085;0.015380427;591
26 agustos 2012 besiktas galatasaray maci;0.032889585;0.016775555;760
26 kasim 2015 can dundar in tutuklanmasi;0.005481597;0.023308834;794
26 kasim 2016 besiktas medipol basaksehir maci;0.007047768;0.016060977;639
26 mayis 2016 galatasaray fenerbahce maci;0.01018011;0.027528243;1099
26 subat 2014 galatasaray chelsea maci;0.020360219;0.01493807;633
26 subat 2015 besiktas liverpool maci;0.017227878;0.035388594;1508
26 temmuz 2013 iron maiden istanbul konseri;0.006264683;0.014631823;
26 temmuz 2016 cnn turk tarafsiz bolge yayini;0.005481597;0.01507418;
26 yasinda universite okuyan okuz;0;0.022662311;
27 agustos 2014 arsenal besiktas maci;0.008613939;0.020892881;
27 agustos 2015 uefa sampiyonlar ligi kura cekimi;0.001566171;0.018000544;
27 eylul 2015 besiktas fenerbahce maci;0.020360219;0.033074724;
27 kasim 2013 real madrid galatasaray maci;0.007830854;0.01425752;
27 mart 2014 ahmet davutoglu ses kaydi;0.015661707;0.035252484;
27 mart 2014 erdogan in sesinin kisilmasi;0.007830854;0.037089969;
27 mart 2016 yds;0.003915427;0.01561862;
27 nisan 2016 galatasaray ob strasbourg ig maci;0.004698512;0.018238737;
27 ocak 2013 galatasaray besiktas maci;0.02192639;0.011433238;
27 temmuz 2008 metallica istanbul konseri;0.017227878;0.01711583;
27 temmuz 2016 fenerbahce monaco maci;0.003132341;0.013951273;
27 yas krizi;0.010963195;0.018102627;
28 aralik 2011 sirnak taki koylulerin bombalanmasi;0.003132341;0.022390091;
28 ekim 2015 bugun tv yayini;0.000783085;0.016809582;
28 eylul 2016 besiktas dinamo kiev maci;0.006264683;0.018919287;
28 haziran 2015 lgbti onur yuruyusu;0.003132341;0.018442902;
28 haziran 2016 ataturk havalimani patlamasi;0.038371182;0.081121546;
28 haziran 2016 taksicilerin firsatciligi;0.007830854;0.032087927;
28 kasim 2015 tahir elci nin oldurulmesi;0.002349256;0.018817204;
28 mart 2015 hollanda turkiye maci;0.014095536;0.015176262;
28 mayis 2013 taksim gezi parki direnisi;0.095536413;0.17857629;
28 mayis 2016 real madrid atletico madrid maci;0.004698512;0.015142235;
28 subat 2016 eksi sozluk un tasariminin degismesi;0.010963195;0.127807268;
28 subat 2016 eksisozluk direnisi;0.078308536;0.036919831;
28 temmuz 2015 fenerbahce sahtar donetsk maci;0.005481597;0.026235198;
29 agustos 2012 fenerbahce spartak moskova maci;0.007047768;0.012692255;
29 agustos 2013 sampiyonlar ligi kura cekimi;0.005481597;0.014223493;
29 kasim 2010 barcelona real madrid maci;0.003132341;0.016129032;
29 kasim 2016 adana ogrenci yurdu yangini;0.006264683;0.04345311;
29 mayis 2015 cumhuriyet in dunyayi sarsan haberi;0.005481597;0.015788757;
29 nisan 2014 bayern munih real madrid maci;0.007830854;0.011705458;
29 nisan 2014 caylak listesinin patlamasi;0.003915427;0.018000544;
29 subat 2016 fenerbahce besiktas maci;0.022709475;0.052538451;
3 adam;0.018010963;0.024431741;
3 agustos 2016 monaco fenerbahce maci;0.002349256;0.016469307;
3 aralik 2016 fenerbahce besiktas maci;0.012529366;0.043623248;
3 bin tl maas alip mutsuz olmak;0.001566171;0.019769974;
3 eylul 2015 turkiye letonya maci;0.01174628;0.023887301;
3 idiots;0.042286609;0.031849735;
3 kasim 2011 besiktas d. kiev macindaki karambol;0.02192639;0.018442902;
3 kasim 2015 benfica galatasaray maci;0.007047768;0.0153464;
3 kasim 2016 fenerbahce manchester united maci;0.010963195;0.025656731;
3 mart 2013 besiktas fenerbahce maci;0.02192639;0.015958895;
3 nisan 2013 real madrid galatasaray maci;0.024275646;0.031985845;
3 temmuz 2011 sike nedenli gozaltilar;0.034455756;0.023819246;
3. havalimani ismi ne olsun anketi;0;0.019940112;
3. patlama sonrasi ankarali psikolojisi;0.000783085;0.018408874;
30 agustos 2015 fenerbahce antalyaspor maci;0.007047768;0.01507418;
30 aralik 2015 istanbul kar yagisi;;0.017456105;
30 ekim 2015 besiktas kasimpasa maci;0.012529366;0.011603376;
30 eylul 2013 demokratiklesme paketinin ilani;0.003132341;0.017183885;
30 eylul 2015 astana galatasaray maci;0.009397024;0.019872057;
30 haziran 2016 ab ile vizelerin kalkmasi;0;0.015652647;
30 kasim 2013 fenerbahce besiktas maci;0.025058731;0.021947734;
30 mart 2014 ankara yerel secim sonuclari;0.008613939;0.050020416;
30 mart 2014 secimleri icin ilk sonuclar;0.000783085;0.01548251;
30 mart 2014 yerel secim tahminleri;0.001566171;0.022049816;
30 mart 2014 yerel secimleri;0.034455756;0.033210834;
30 mart tan sonra youtube u facebook u kapatacagiz;0.003132341;0.022662311;
30 mayis 2016 paypal in turkiye den cekilmesi;0.004698512;0.015788757;
30 nisan 2016 besiktas kayserispor maci;0.006264683;0.014835987;
30 yasina gelip duzenli bir hayat kuramayan insan;0.001566171;0.018579012;
30 yasinda bekar kadin;0.013312451;0.062440452;
30 yasinda hala metal dinleyen insan;0.000783085;0.017490132;
30 yasindan sonra anlasilan gercekler;0.006264683;0.029535865;
30 yil sonra cocuklara anlatilacak uc futbolcu;0;0.022151899;
3000 yilinda da simdikiyle ayni olacak seyler;0.000783085;0.022900504;
31 agustos 2014 icloud hack saldirisi;0.016444792;0.024669933;
31 agustos 2014 turkiye abd basketbol maci;0.002349256;0.01235198;
31 aralik 2015 gecesi evde oturacak yazar listesi;0;0.025622703;
31 ekim 2016 cumhuriyet gazetesi operasyonu;0.004698512;0.021981761;
31 ekim 2016 ekonomik boykot direnisi;0.013312451;0.027358105;
31 mart 2015 cumhuriyet savcisinin rehin alinmasi;0.012529366;0.019123452;
31 mart 2015 turkiye geneli elektrik kesintisi;0.018794049;0.049339867;
31 mayis 2010 gazze ye yardim konvoyu saldirisi;0.017227878;0.020144277;
31 mayis 2013 taksim gezi parki polis saldirisi;0.024275646;0.023955356;
34 plakanin diger illerdeki karizmasi;0.000783085;0.018374847;
35 yasinda isi evi arabasi olan bekar erkek;0.000783085;0.022083844;
353. donem askere gidecek sozluk yazarlari;0.003132341;0.015040152;
357. donem askere gidecek sozluk yazarlari;0.004698512;0.013542943;
4 4 4;0.028974158;0.02647339;
4 agustos 2013 roger waters istanbul konseri;0.007047768;0.016945692;
4 ekim 2016 ruzgar cetin in tahliye edilmesi;0.007047768;0.033380972;
4 kasim 2014 borussia dortmund galatasaray maci;0.014095536;0.019055397;
4 kasim 2016 s. demirtas in gozaltina alinmasi;0.007047768;0.035524704;
4 kasim 2016 sosyal medyaya erisim yasagi;0.007047768;0.033857357;
4 nisan 2013 fenerbahce lazio maci;0.008613939;0.01425752;
4 nisan 2015 fenerbahce otobusune saldiri;0.013312451;0.026133116;
4 nisan 2016 kasimpasa besiktas maci;0.007047768;0.013679053;
4 ocak 2015 besiktas galatasaray maci;0.028191073;0.026983803;
4.5g;0.013312451;0.029978222;
40 yasinda olup 25 yasinda gosteren insan;0.000783085;0.017660269;
400 milletvekili alinsaydi bunlar olmazdi;0.012529366;0.020178304;
43. altin kelebek odul toreni;0.006264683;0.01452974;
46 yok olan;0.013312451;0.072206343;
5 agustos 2013 ergenekon davasi kararlari;0.013312451;0.018102627;
5 agustos 2015 sahtar donetsk fenerbahce maci;0.01174628;0.025044236;
5 bin tl maas alip lcw den giyinen erkek;0;0.017285967;
5 dakika sonra olecegini bilsen ne yaparsin;0;0.023104669;
5 eylul 2016 hirvatistan turkiye maci;0.005481597;0.017149857;
5 haziran 2015 hdp diyarbakir mitingindeki patlama;0.007830854;0.021845651;
5 kasim 2016 besiktas trabzonspor maci;0.007047768;0.015720702;
5 nisan 2015 yds;0.002349256;0.014699878;
5 ocak 2015 yeni yabanci futbolcu kurali;0.007047768;0.016129032;
5 yil onceki kendine mektup;0;0.041309378;
5 yilda 270 makale yazan akademisyen;0.017227878;0.012658228;
500 days of summer;0.057165231;0.028038655;
500t;0.073610023;0.021233156;
5651 sayili internet yasasi guncellemesi;0.004698512;0.014189465;
59saniye;0.009397024;0.017728324;
